Gen1	Flawed Bellman Equation, slow learning rate
Tiny	NoAstroids	a0.1_g0.8_a0.1	751	02:23PM on July 02, 2019		
Tiny	NoAstroids	a0.1_g0.8_a0.1	4501	04:16PM, on July 02, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	7360	06:19PM on July 02, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	7363	06:32PM on July 02, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	7530	06:53PM on July 02, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	7549	06:55PM on July 02, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	7560	06:56PM on July 02, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	11306	08:27PM on July 02, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	11320	10:11PM on July 02, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	15848	02:15AM on July 03, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	15851	12:39PM on July 03, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	15861	01:02PM on July 03, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	15871	01:03PM on July 03, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	15877	01:05PM on July 03, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	15883	01:05PM on July 03, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	15889	01:07PM on July 03, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	15895	01:08PM on July 03, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	15901	01:08PM on July 03, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	15907	01:09PM on July 03, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	15913	01:12PM on July 03, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	15919	01:14PM on July 03, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	15930	01:36PM on July 03, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	15941	01:36PM on July 03, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	15947	01:37PM on July 03, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	15953	01:37PM on July 03, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	15958	01:38PM on July 03, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	15960	01:38PM on July 03, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	15962	01:38PM on July 03, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	25962	01:43PM on July 03, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	35962	01:45PM on July 03, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	135962	01:59PM on July 03, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	135972	10:51PM on July 03, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	135982	10:51PM on July 03, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	1135982	11:28PM on July 03, 2019
_	_	_	_	_	_	_	_	_	_	_	_	_
Tiny	NoAstroids	a0.1_g0.8_a0.1	0
Tiny	NoAstroids	a0.1_g0.8_a0.1	100	11:13AM on July 04, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	106	11:17AM on July 04, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	116	11:19AM on July 04, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	1116	11:22AM on July 04, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	1126	11:22AM on July 04, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	11126	11:24AM on July 04, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	111126	01:53PM on July 04, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	111136	03:53PM on July 04, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	111198	03:56PM on July 04, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	111297	04:00PM on July 04, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	211297	04:13PM on July 04, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	211380	04:20PM on July 04, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	211390	11:25PM on July 04, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	221390	11:40PM on July 04, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	231390	11:42PM on July 04, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	501390	12:00AM on July 05, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	501400	05:49PM on July 04, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	501500	05:53PM on July 04, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	501600	05:57PM on July 04, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	501700	06:03PM on July 04, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	501710	06:04PM on July 04, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	501718	06:05PM on July 04, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	501792	06:09PM on July 04, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	511792	01:16AM on July 05, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	1511792	02:24AM on July 05, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	5011792	07:49AM on July 05, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	5011798	03:12PM on July 05, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	5011799	03:17PM on July 05, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	5011809	03:19PM on July 05, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	5011814	03:19PM on July 05, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	5011914	10:25AM on July 06, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	5012014	11:41AM on July 08, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	5012114	11:46AM on July 08, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	5012150	11:47AM on July 08, 2019
Tiny	NoAstroids	a0.1_g0.8_a0.1	5012167	07:53PM on July 08, 2019
Tiny	NoAstroids	a0.1_g0.8_e0.2	10	05:03PM on July 09, 2019
Tiny	NoAstroids	a0.1_g1.0_e0.2	10	05:05PM on July 09, 2019
Tiny	NoAstroids	a0.1_g1.0_e0.2	13	05:07PM on July 09, 2019
Tiny	NoAstroids	a0.9_g1.0_e0.2	10	05:08PM on July 09, 2019
Tiny	NoAstroids	a0.9_g1.0_e0.2	20	05:09PM on July 09, 2019
Tiny	NoAstroids	a0.1_g1.0_e0.2	25	10:23AM on July 11, 2019
Tiny	NoAstroids	a0.9_g1.0_e0.2	1000020	04:31AM on July 13, 2019
Tiny	NoAstroids	a0.9_g1.0_e0.1	1000000	04:33AM on July 13, 2019
Tiny	NoAstroids	a0.8_g1.0_e0.2	1000000	04:40AM on July 13, 2019
Tiny	NoAstroids	a0.7_g1.0_e0.2	1000000	04:57AM on July 13, 2019
Tiny	NoAstroids	a0.2_g1.0_e0.1	1000000	05:05AM on July 13, 2019
Tiny	NoAstroids	a0.4_g1.0_e0.1	1000000	05:09AM on July 13, 2019
Tiny	NoAstroids	a0.5_g1.0_e0.1	1000000	05:14AM on July 13, 2019
Tiny	NoAstroids	a0.6_g1.0_e0.1	1000000	05:18AM on July 13, 2019
Tiny	NoAstroids	a0.1_g1.0_e0.1	1000000	05:19AM on July 13, 2019
Tiny	NoAstroids	a0.3_g1.0_e0.1	1000000	05:25AM on July 13, 2019
Tiny	NoAstroids	a0.7_g1.0_e0.1	1000000	05:27AM on July 13, 2019
Tiny	NoAstroids	a0.8_g1.0_e0.1	1000000	05:33AM on July 13, 2019
Tiny	NoAstroids	a0.6_g1.0_e0.2	1000000	05:43AM on July 13, 2019
Tiny	NoAstroids	a0.5_g1.0_e0.2	1000000	05:55AM on July 13, 2019
Tiny	NoAstroids	a0.9_g0.8_e0.2	1000000	05:57AM on July 13, 2019
Tiny	NoAstroids	a0.8_g0.8_e0.2	1000000	06:01AM on July 13, 2019
Tiny	NoAstroids	a0.7_g0.8_e0.2	1000000	06:03AM on July 13, 2019
Tiny	NoAstroids	a0.6_g0.8_e0.2	1000000	06:04AM on July 13, 2019
Tiny	NoAstroids	a0.8_g0.8_e0.1	1000000	06:08AM on July 13, 2019
Tiny	NoAstroids	a0.4_g1.0_e0.2	1000000	06:08AM on July 13, 2019
Tiny	NoAstroids	a0.9_g0.8_e0.1	1000000	06:08AM on July 13, 2019
Tiny	NoAstroids	a0.7_g0.8_e0.1	1000000	06:09AM on July 13, 2019
Tiny	NoAstroids	a0.3_g1.0_e0.2	1000000	06:10AM on July 13, 2019
Tiny	NoAstroids	a0.1_g1.0_e0.2	1000025	06:12AM on July 13, 2019
Tiny	NoAstroids	a0.9_g0.6_e0.2	1000000	06:14AM on July 13, 2019
Tiny	NoAstroids	a0.5_g0.8_e0.1	1000000	06:14AM on July 13, 2019
Tiny	NoAstroids	a0.4_g0.6_e0.2	1000000	06:14AM on July 13, 2019
Tiny	NoAstroids	a0.7_g0.6_e0.1	1000000	06:16AM on July 13, 2019
Tiny	NoAstroids	a0.4_g0.8_e0.2	1000000	06:17AM on July 13, 2019
